,References_id
0,ASP3026,6849,['ASP3026'],11
0,Methylnaltrexone,4809,"['Methylnaltrexone', 'Relistor', 'MNTX']",36
0,Sapitinib,7016,"['Sapitinib', 'AZD8931', 'AZD89311']",42
0,CUDC-101,7124,['CUDC-101'],43
0,JNJ-26483327,7143,['JNJ-26483327'],45
0,ENMD-2076,6903,['ENMD-2076'],47
0,Cabozantinib,7115,"['Cabozantinib', 'Cometriq', 'Cabometyx', 'Cabozantinib-s-malate', 'XL184']",54
0,MVAp53,7157,"['MVAp53', 'p53MVA']",56
0,RAF265,6999,['RAF265'],61
0,ENMD-2076,6903,['ENMD-2076'],68
0,ABT-348,7082,"['ABT-348', 'ilorasertib']",70
0,LY2801653,7147,"['LY2801653', 'Merestinib']",92
0,Doxorubicin,986,"['Doxorubicin', 'Adriamycin', 'ADR', 'Adria']",96
1,Epirubicin,437,"['Epirubicin', 'Ellence']",96
0,BKM120,6875,"['BKM120', 'BKM-120', 'Buparlisib']",156
0,Safingol,7167,"['Safingol', 'Kynacyte', 'Sphinganine']",159
0,Riluzole,7165,"['Riluzole', 'Rilutek']",160
0,Itraconazole,1154,"['Itraconazole', 'Hyphanox', 'ITC']",166
0,Antroquinonol,7098,"['Antroquinonol', 'Hocena', 'Hocena']",168
0,GDC-0623,6910,['GDC-0623'],187
0,Copanlisib,7112,"['Copanlisib', 'Aliqopa', 'BAY80-6946']",188
0,CO1686,7122,"['CO1686', 'Rociletinib']",194
0,AB0023,8511,['AB0023'],202
0,RXDX-105,7121,"['RXDX-105', 'AC013773', 'CEP-32496']",203
0,AT13148,8189,['AT13148'],204
0,AR-42 ,7101,"['AR-42 ', 'HDAC42']",205
0,GDC-0032 ,7133,"['GDC-0032 ', 'RG7606', 'Taselisib']",206
0,PD0166285,7070,['PD0166285'],209
0,Gedatolisib,7159,"['Gedatolisib', 'PF-05212384', 'PKI-587']",220
0,A66,7056,['A66'],223
0,PF-04691502,6986,['PF-04691502'],226
0,Alpelisib,6882,"['Alpelisib', 'BYL719']",236
0,ABBV-181,8786,['ABBV-181'],275
1,ABBV-368,8693,['ABBV-368'],275
2,ABBV-428,8601,['ABBV-428'],275
3,ABBV-621,8777,['ABBV-621'],275
4,ABBV-927,8619,['ABBV-927'],275
5,AK-01,8774,['AK-01'],275
6,ALKS 4230,8403,['ALKS 4230'],275
7,ALX148,8635,['ALX148'],275
8,AMG 596,8957,['AMG 596'],275
9,ARQ 751,8420,['ARQ 751'],275
10,AZD4635,8381,['AZD4635'],275
11,BI 754091,8747,['BI 754091'],275
12,BI 754111,8745,['BI 754111'],275
13,BI 891065,8958,['BI 891065'],275
14,BMS-986156,8136,['BMS-986156'],275
15,BMS-986178,8330,['BMS-986178'],275
16,BMS-986179,8375,['BMS-986179'],275
17,BMS-986183,8729,['BMS-986183'],275
18,BMS-986205,8143,['BMS-986205'],275
19,BMS-986207 ,8568,['BMS-986207 '],275
20,BMS-986218,8716,['BMS-986218'],275
21,BMS-986226,8922,['BMS-986226'],275
22,BPI-9016M,8255,['BPI-9016M'],275
23,CBT-101,8873,['CBT-101'],275
24,CV301,8644,"['CV301', 'CV-301']",275
25,CX-072,8634,['CX-072'],275
26,CX-2009,8759,['CX-2009'],275
27,FAZ053,8589,['FAZ053'],275
28,FT-2102,8424,['FT-2102'],275
29,GDC-0077,8627,"['GDC-0077', 'RO7113755']",275
30,HER2-pulsed DC1 vaccine,8639,"['HER2-pulsed DC1 vaccine', 'HER2-pulsed type-1 polarized autologous dendritic cell vaccine']",275
31,HLX07,8303,['HLX07'],275
32,HMPL-453,8200,['HMPL-453'],275
33,HMPL-689,8199,['HMPL-689'],275
34,HS-110,7537,"['HS-110', 'Viagenpumatucel-L', 'AD100-gp96-Ig-HLA A1']",275
